Missing File,Matched File
- ABC_Care Public Use Data_Variable Descriptions_2002.pdf,ABC_Care Public Use Data_Variable Descriptions_2002.pdf
- ABC_DV_UNC_BSID_IBR_. yr2_mon40.pdf,ABC_DV_UNC_BSID_IBR_. yr2_mon40.pdf
- ABC_Items_UNC_BSID_MentalScales_.pdf,ABC_Items_UNC_BSID_MentalScales_.pdf
- ABC_Q_D_Heck_BSI_Brief_Symptom_Inventory_.pdf,ABC_Q_D_Heck_BSI_Brief_Symptom_Inventory_.pdf
- ABC_Q_D_Heck_CBI_complete.pdf,ABC_Q_D_Heck_CBI_complete.pdf
- ABC_Q_UNC_BSID_Behavior_.pdf,ABC_Q_UNC_BSID_Behavior_.pdf
- ABC_Q_UNC_HOME_3-6yr_.pdf,ABC_Q_UNC_HOME_3-6yr_.pdf
"- ABC_Q_UNC_HOME_42,54mo_.pdf","ABC_Q_UNC_HOME_42,54mo_.pdf"
"- ABC_Q_UNC_HOME_6,18,30mo_.pdf","ABC_Q_UNC_HOME_6,18,30mo_.pdf"
- ABC_Q_UNC_HOME_over6yr_.pdf,ABC_Q_UNC_HOME_over6yr_.pdf
- ABC_Q_UNC_Parental_Attitude_.pdf,ABC_Q_UNC_Parental_Attitude_.pdf
- ABC_Q_UNC_Perceived_Competence_Harter_.pdf,ABC_Q_UNC_Perceived_Competence_Harter_.pdf
- ABC_Q_UNC_Rotter_.pdf,ABC_Q_UNC_Rotter_.pdf
- ABC_S_Heck_Woodcock-Johnson+Psycho-Educational+Battery_.pdf,ABC_S_Heck_Woodcock-Johnson Psycho-Educational Battery_.pdf
- ABC_S_Q_UNC_ASR_30_ (2).doc,ABC_S_Q_UNC_ASR_30_ (2).doc
- ABC_S_Q_UNC_Kohn_Rosman_.pdf,ABC_S_Q_UNC_Kohn_Rosman_.pdf
- ABC_S_UNC_BSID_.pdf,ABC_S_UNC_BSID_.pdf
- ABC_S_UNC_BSID_Bahavior_.pdf,ABC_S_UNC_BSID_Bahavior_.pdf
- ABC_S_UNC_HOME_.pdf,ABC_S_UNC_HOME_.pdf
- ABC_S_UNC_Parental_attitude_.pdf,ABC_S_UNC_Parental_attitude_.pdf
- ABC_S_UNC_Perceived_Competence_Harter_.pdf,ABC_S_UNC_Perceived_Competence_Harter_.pdf
- ABC_S_UNC_WISC_.pdf,ABC_S_UNC_WISC_.pdf
- ABC_ScoreSheet_UNC_Stanford_binet_.pdf,ABC_ScoreSheet_UNC_Stanford_binet_.pdf
- ABC_Stats_Heck_CBI_.pdf,ABC_Stats_Heck_CBI_.pdf
- ABC_V_Heck_Brief_Symptom_Inventory_Age21_.pdf,ABC_V_Heck_Brief_Symptom_Inventory_Age21_.pdf
- ABC_V_UNC_Child_Assessment_Schedule_year10_.pdf,ABC_V_UNC_Child_Assessment_Schedule_year10_.pdf
- ABC_V_WJ_year7_UNC_.pdf,ABC_V_WJ_year7_UNC_.rtf
- BSID_Norms.xlsx,BSID_Norms.xlsx
- Bayley Norms.pdf,Bayley Norms.pdf
- CAT standardization-stanines.pdf,CAT standardization-stanines.pdf
- D_WISC_IV.docx,D_WISC_IV.docx
- EHS_D_PPVT-III_.pdf,EHS_D_PPVT-III_.pdf
- EHS_D_S_Q_Leiter-r_.xlsx,EHS_D_S_Q_Leiter-r_.xlsx
- HS_1977_Radloff-385-401.pdf,HS_1977_Radloff-385-401.pdf
- HS_Howes_scale.pdf,HS_Howes_scale.pdf
- Leiter-R+standardization+mean+sd.pdf,Leiter-R standardization mean sd.pdf
- Leiter-R+standardization.pdf,Leiter-R standardization.pdf
- PIAT from the NLSY.pdf,PIAT from the NLSY.pdf
- PPVT-R_standardization.pdf,PPVT-R_standardization.pdf
- Perry-CAT Lower Primary.pdf,Perry-CAT Lower Primary.pdf
- Perry-CAT Upper Primary Manual.pdf,Perry-CAT Upper Primary Manual.pdf
- S_D_WISC.docx,S_D_WISC.pdf
- WPPSI-R+standardization.pdf,WPPSI-R standardization.pdf
